Size;Threads;Time
100000;2; 0.000872
1000000;2; 0.007157
10000000;2; 0.074436
100000000;2; 0.711704
1000000000;2; 7.163596
10000000000;2; 10.077315
100000;4; 0.000519
1000000;4; 0.004105
10000000;4; 0.039448
100000000;4; 0.371069
1000000000;4; 3.667758
10000000000;4; 5.174616
100000;8; 0.000544
1000000;8; 0.002857
10000000;8; 0.022342
100000000;8; 0.261726
1000000000;8; 2.060713
10000000000;8; 2.945944
100000;16; 0.000981
1000000;16; 0.002620
10000000;16; 0.024720
100000000;16; 0.223333
1000000000;16; 2.021820
10000000000;16; 2.876048
100000;32; 0.001796
1000000;32; 0.003588
10000000;32; 0.024823
100000000;32; 0.228866
1000000000;32; 2.018960
10000000000;32; 2.784027
100000;2; 0.000826
1000000;2; 0.008294
10000000;2; 0.072079
100000000;2; 0.727608
1000000000;2; 7.195413
10000000000;2; 10.046783
100000;4; 0.000730
1000000;4; 0.004343
10000000;4; 0.037557
100000000;4; 0.368023
1000000000;4; 3.665030
10000000000;4; 5.121195
100000;8; 0.000541
1000000;8; 0.002219
10000000;8; 0.020508
100000000;8; 0.255016
1000000000;8; 2.106633
10000000000;8; 2.923807
100000;16; 0.001094
1000000;16; 0.003056
10000000;16; 0.022601
100000000;16; 0.224135
1000000000;16; 2.008581
10000000000;16; 2.853266
100000;32; 0.001637
1000000;32; 0.003232
10000000;32; 0.022083
100000000;32; 0.222739
1000000000;32; 1.985968
10000000000;32; 2.809941
100000;2; 0.001061
1000000;2; 0.008121
10000000;2; 0.072310
100000000;2; 0.727543
1000000000;2; 7.215925
10000000000;2; 10.045585
100000;4; 0.000516
1000000;4; 0.004211
10000000;4; 0.037398
100000000;4; 0.372628
1000000000;4; 3.631925
10000000000;4; 5.169114
100000;8; 0.001508
1000000;8; 0.002440
10000000;8; 0.021129
100000000;8; 0.246442
1000000000;8; 2.166175
10000000000;8; 2.941449
100000;16; 0.001028
1000000;16; 0.003587
10000000;16; 0.027318
100000000;16; 0.229597
1000000000;16; 2.107058
10000000000;16; 2.914228
100000;32; 0.002151
1000000;32; 0.003533
10000000;32; 0.022853
100000000;32; 0.223437
1000000000;32; 2.006745
10000000000;32; 2.769427
100000;2; 0.000967
1000000;2; 0.008680
10000000;2; 0.078220
100000000;2; 0.724303
1000000000;2; 7.151310
10000000000;2; 10.034392
100000;4; 0.000583
1000000;4; 0.003894
10000000;4; 0.037706
100000000;4; 0.362959
1000000000;4; 3.669517
10000000000;4; 5.128969
100000;8; 0.000689
1000000;8; 0.002780
10000000;8; 0.021820
100000000;8; 0.244128
1000000000;8; 2.028850
10000000000;8; 2.857896
100000;16; 0.001004
1000000;16; 0.002696
10000000;16; 0.024492
100000000;16; 0.231275
1000000000;16; 2.019754
10000000000;16; 2.872886
100000;32; 0.001631
1000000;32; 0.004120
10000000;32; 0.023861
100000000;32; 0.223302
1000000000;32; 1.974855
10000000000;32; 2.828900
100000;2; 0.000823
1000000;2; 0.007117
10000000;2; 0.072680
100000000;2; 0.726884
1000000000;2; 7.197487
10000000000;2; 10.177662
100000;4; 0.000503
1000000;4; 0.004251
10000000;4; 0.036380
100000000;4; 0.371390
1000000000;4; 3.643281
10000000000;4; 5.169472
100000;8; 0.000681
1000000;8; 0.004352
10000000;8; 0.021034
100000000;8; 0.264914
1000000000;8; 2.066801
10000000000;8; 2.926437
100000;16; 0.000987
1000000;16; 0.002608
10000000;16; 0.028048
100000000;16; 0.229892
1000000000;16; 2.042156
10000000000;16; 2.847587
100000;32; 0.001578
1000000;32; 0.003409
10000000;32; 0.023147
100000000;32; 0.225773
1000000000;32; 1.990688
10000000000;32; 2.795941
100000;2; 0.000779
1000000;2; 0.007735
10000000;2; 0.074571
100000000;2; 0.744431
1000000000;2; 7.205478
10000000000;2; 10.153481
100000;4; 0.000535
1000000;4; 0.004430
10000000;4; 0.036622
100000000;4; 0.364541
1000000000;4; 3.667330
10000000000;4; 5.113006
100000;8; 0.000591
1000000;8; 0.002532
10000000;8; 0.022811
100000000;8; 0.267776
1000000000;8; 2.057979
10000000000;8; 2.949904
100000;16; 0.000961
1000000;16; 0.002927
10000000;16; 0.022940
100000000;16; 0.241608
1000000000;16; 1.991014
10000000000;16; 2.865896
100000;32; 0.002263
1000000;32; 0.003596
10000000;32; 0.024729
100000000;32; 0.224145
1000000000;32; 1.985749
10000000000;32; 2.780718
100000;2; 0.000846
1000000;2; 0.007717
10000000;2; 0.071533
100000000;2; 0.729977
1000000000;2; 7.206950
10000000000;2; 10.081453
100000;4; 0.000541
1000000;4; 0.004361
10000000;4; 0.038067
100000000;4; 0.368387
1000000000;4; 3.661747
10000000000;4; 5.128098
100000;8; 0.000709
1000000;8; 0.002559
10000000;8; 0.022979
100000000;8; 0.243445
1000000000;8; 2.068462
10000000000;8; 2.862290
100000;16; 0.001274
1000000;16; 0.002792
10000000;16; 0.026470
100000000;16; 0.235405
1000000000;16; 2.024244
10000000000;16; 2.838256
100000;32; 0.001635
1000000;32; 0.003728
10000000;32; 0.021392
100000000;32; 0.221311
1000000000;32; 1.987256
10000000000;32; 2.783453
100000;2; 0.000875
1000000;2; 0.007131
10000000;2; 0.071457
100000000;2; 0.718881
1000000000;2; 7.139868
10000000000;2; 10.042491
100000;4; 0.000528
1000000;4; 0.004396
10000000;4; 0.037882
100000000;4; 0.376945
1000000000;4; 3.653376
10000000000;4; 5.123272
100000;8; 0.000875
1000000;8; 0.002586
10000000;8; 0.021887
100000000;8; 0.286084
1000000000;8; 2.105840
10000000000;8; 2.960441
100000;16; 0.000990
1000000;16; 0.002830
10000000;16; 0.025392
100000000;16; 0.220148
1000000000;16; 1.943539
10000000000;16; 2.744120
100000;32; 0.001847
1000000;32; 0.003669
10000000;32; 0.024176
100000000;32; 0.203549
1000000000;32; 1.927796
10000000000;32; 2.712034
100000;2; 0.000906
1000000;2; 0.008396
10000000;2; 0.074491
100000000;2; 0.711586
1000000000;2; 7.096107
10000000000;2; 10.020052
100000;4; 0.000620
1000000;4; 0.004239
10000000;4; 0.038589
100000000;4; 0.367947
1000000000;4; 3.602124
10000000000;4; 5.092988
100000;8; 0.001177
1000000;8; 0.002480
10000000;8; 0.021992
100000000;8; 0.240047
1000000000;8; 1.995410
10000000000;8; 2.795518
100000;16; 0.001028
1000000;16; 0.002732
10000000;16; 0.021742
100000000;16; 0.211806
1000000000;16; 1.921098
10000000000;16; 2.765613
100000;32; 0.001655
1000000;32; 0.003648
10000000;32; 0.023031
100000000;32; 0.204972
1000000000;32; 1.918151
10000000000;32; 2.715634
100000;2; 0.001255
1000000;2; 0.007779
10000000;2; 0.073273
100000000;2; 0.714156
1000000000;2; 7.143794
10000000000;2; 9.983655
100000;4; 0.000572
1000000;4; 0.004093
10000000;4; 0.038205
100000000;4; 0.364824
1000000000;4; 3.644467
10000000000;4; 5.151512
100000;8; 0.000990
1000000;8; 0.002742
10000000;8; 0.022038
100000000;8; 0.242141
1000000000;8; 1.952916
10000000000;8; 2.753037
100000;16; 0.001229
1000000;16; 0.002951
10000000;16; 0.022061
100000000;16; 0.223530
1000000000;16; 1.937659
10000000000;16; 2.811499
100000;32; 0.001656
1000000;32; 0.003317
10000000;32; 0.021605
100000000;32; 0.232070
1000000000;32; 1.914756
10000000000;32; 2.714957

